original_ADDRESS,original_STREET NUMBER FROM,original_STREET NUMBER TO,original_DIRECTION,original_STREET NAME,original_STREET TYPE,original_TANK TYPE,original_FACILITY ID,original_OWNER,original_FACILITY NAME,original_Tank ID,original_TANK MATERIAL,original_TANK CONSTRUCTION,original_TANK PRODUCT,original_TANK CAPACITY,original_INSTALLATION DATE,original_REMOVAL DATE,original_LAST USED DATE,original_COMMENT,original_DATA SOURCE,original_LATITUDE,original_LONGITUDE,original_LOCATION,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
1470 W ERIE ST,1470,1470,W,ERIE,ST,UNDERGROUND STORAGE TANK,1470ERI,See Environmental Permit Dataset,,0001,,,?,1000,,,," ",DEPT. OF PUBLIC HEALTH,41.893485466604524,-87.6650947760901,POINT (-87.6650947760901 41.893485466604524),1.1325278411937463,"1470 West Erie Street, Chicago, IL 60612, United States of America",41.8935903,-87.66504656271935,,1470,West Erie Street,60612,Noble Square,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1615 S INDIANA AVE,1615,1615,S,INDIANA,AVE,UNDERGROUND STORAGE TANK,2034283,See Environmental Permit Dataset,ELMAMSURE,0001,,,HEATING OI,12500,,,," ",DEPT. OF PUBLIC HEALTH,41.859888395389426,-87.62222511617631,POINT (-87.62222511617631 41.859888395389426),3.321139773514347,"201-217 East 16th Street, Chicago, IL 60616, United States of America",41.8599941,-87.62192657502558,,201-217,East 16th Street,60616,South Loop,Near South Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1765 N ELSTON AVE,1765,1765,N,ELSTON,AVE,UNDERGROUND STORAGE TANK,2007649,See Environmental Permit Dataset,HANNA CORPORATION,0001,,,,2000,,,," ",DEPT. OF PUBLIC HEALTH,41.9147426090437,-87.66497832743869,POINT (-87.66497832743869 41.9147426090437),0,"1761-1765 North Elston Avenue, Chicago, IL 60614, United States of America",41.9149527,-87.66438896573297,,1761-1765,North Elston Avenue,60614,,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
213 E 33RD ST,213,213,E,33RD,ST,UNDERGROUND STORAGE TANK,213E33R1956-12-18,,STANDARD OIL,,,,,,12/18/1956,,,"WORK BY: OWNER; INSTALL 1-2K,1-3K GAS,1-500G W.O., 1-500G F.O.",HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
2218 W FLOURNOY ST,2218,2222,W,FLOURNOY,ST,UNDERGROUND STORAGE TANK,221822W1953-10-15,,ELCTRO GALVANIZING COMPANY,,,,,,10/15/1953,,,"WORK BY: HOOD CONSTRUCTION COMPANY; INSTALL 1-3K FUEL OIL, FINAL 12/11/53",HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
2734 N RAVENSWOOD AVE,2734,2734,N,RAVENSWOOD,AVE,UNDERGROUND STORAGE TANK,2734JAN1987-10-14,,BANK OF RAVENSWOOD,,,,,,10/14/1987,,,WORK BY: SPEEDWAY WRECKING; REMOVE 1-1500 FINAL 11/20/87,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
319 W ONTARIO ST,319,319,W,ONTARIO,ST,UNDERGROUND STORAGE TANK,2030852,See Environmental Permit Dataset,ADLAKE BUILDING,0001,,,DIESEL,12000,,,," ",DEPT. OF PUBLIC HEALTH,41.893047803658284,-87.6364765072776,POINT (-87.6364765072776 41.893047803658284),0,"319 West Ontario Street, Chicago, IL 60654, United States of America",41.892919199999994,-87.63653776744313,,319,West Ontario Street,60654,River North,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3350 W 48TH ST,3350,3350,W,48TH,ST,UNDERGROUND STORAGE TANK,3350W481949-05-03,,THE NATIONAL WASTE COMPANY,,,,,,05/03/1949,,,"WORK BY: HOOD CONSTRUCTION; INSPECT 1-15K FUEL OIL, FINAL 8/5/49",HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
3435 S CICERO AVE,3435,3435,S,CICERO,AVE,UNDERGROUND STORAGE TANK,3435CIC1953-08-13,,CENTRAL MOTOR LINE,,,,,,08/13/1953,,,"WORK BY: MARBECK; INSTALL 1-1K FUEL OIL,   FINAL 12/15/53",HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
3510 S ASHLAND AVE,3510,3510,S,ASHLAND,AVE,UNDERGROUND STORAGE TANK,2017680,See Environmental Permit Dataset,35 & ASHLAND OIL,0006,,,OIL,560,,,," ",DEPT. OF PUBLIC HEALTH,41.83012506640463,-87.66570582219244,POINT (-87.66570582219244 41.83012506640463),6.114073864701952,"Shell, South Ashland Avenue, Chicago, IL 60608, United States of America",41.830220049999994,-87.6658995543632,Shell,,South Ashland Avenue,60608,Mount Pleasant,McKinley Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3858 W LAKE ST,3858,3858,W,LAKE,ST,UNDERGROUND STORAGE TANK,3858LAK1954-03-26,,MR W M J ADAMS,,,,,,03/26/1954,,,WORK BY: PURE OIL; INSTALL 1-2K GAS,HISTORIC DEPT. OF BUILDINGS,41.88544283111528,-87.72319836407384,POINT (-87.72319836407384 41.88544283111528),20.65393408182881,"3858 W Lake Street, Chicago, IL 60624, United States of America",41.885628,-87.723218,,3858,W Lake Street,60624,Chicago,East Garfield Park,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
4 E 111TH ST,4,4,E,111TH,ST,UNDERGROUND STORAGE TANK,4E111TH1949-08-09,,YMCA,,,,,,08/09/1949,,,WORK BY: OWNER; INSTALL 1-8K F.O.,HISTORIC DEPT. OF BUILDINGS,41.692695047957116,-87.62296360701278,POINT (-87.62296360701278 41.692695047957116),0.709734779085617,"111th Street & State, Chicago, IL 60628, United States of America",41.6927,-87.622969,111th Street & State,,,60628,Chicago,Roseland,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4001 E 103RD ST,4001,4001,E,103RD,ST,UNDERGROUND STORAGE TANK,40011031991-05-08,,FALSTAFF BREW,,,,,,05/08/1991,,,WORK BY: ENSR REMODELERS; SANDFILL 1-20K FO  REMOVE 1-02K &1-3K FO TKS   FINAL N/G,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
4051 N HARLEM AVE,4051,4051,N,HARLEM,AVE,UNDERGROUND STORAGE TANK,2012042,See Environmental Permit Dataset,I.D.O.T. MAINTENANCE FACILITY,0002,,,GASOLINE,5400,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
407 S PEORIA ST,407,407,S,PEORIA,ST,UNDERGROUND STORAGE TANK,2036873,See Environmental Permit Dataset,Downtown Cleaners Inc,0001,,,?,2000,,,," ",DEPT. OF PUBLIC HEALTH,41.87638380557122,-87.6493831377376,POINT (-87.6493831377376 41.87638380557122),0,"407 South Peoria Street, Chicago, IL 60607, United States of America",41.876351299999996,-87.64919452716654,,407,South Peoria Street,60607,Greektown,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"420 E MONROE ",420,420,E,MONROE,,UNDERGROUND STORAGE TANK,420MONR1974-10-31,,CHICAGO YACHT CLUB,,,,,,10/31/1974,,,WORK BY: H.M. BOLES; GLASS ARMOR 2-3K GAS,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
432 E 67TH ST,432,432,E,67TH,ST,UNDERGROUND STORAGE TANK,2006033,See Environmental Permit Dataset,CITY OF CHICAGO FIRE DEPARTMENT,0001,,,DIESEL,1000,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
4744 W 59TH ST,4744,4756,W,59TH,ST,UNDERGROUND STORAGE TANK,4744-561950-05-09,,BULH SERVICE STATION,,,,,,05/09/1950,,,WORK BY: BULH SERVICE STATION INC; INSTALLATION 2-2K GASOLINE,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
4849 S ROCKWELL ST,4849,4849,S,ROCKWELL,ST,UNDERGROUND STORAGE TANK,2033411,See Environmental Permit Dataset,WORLD'S FINEST CHOCOLATE,0001,,,HEATING OI,20000,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
4907 W PIERCE AVE,4907,4939,W,PIERCE,AVE,UNDERGROUND STORAGE TANK,4907PIE1987-01-13,,CHICAGO TRANSIT AUTHORITY,,,,,,01/13/1987,,,WORK BY: G. M. WRECKING; REMOVE 1-10K GSLN & 1-3K F.O.             FINAL  7/1/87,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
5115 W MOFFAT ST,5115,5129,W,MOFFAT,ST,UNDERGROUND STORAGE TANK,5115MOF1947-07-02,,THE GLIDDEN COMPANY,,,,,,07/02/1947,,,WORK BY: ENGER BROTHERS; INSTALL 11-15K PAINT SOLVENTS,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
5340 S HAMILTON AVE,5340,5340,S,HAMILTON,AVE,UNDERGROUND STORAGE TANK,5340HAM1955-11-03,,CITY OF CHICAGO,,,,,,11/03/1955,,,WORK BY: AUTOMATIC TANK WORKS; INSTALL 1-1K,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
5604 N KEDZIE AVE,5604,5604,N,KEDZIE,AVE,UNDERGROUND STORAGE TANK,5604NKE1969-07-01,,SHELL OIL,,,,,,07/01/1969,,,WORK BY: CARLSON BROTHERS CONSTRUCTION; INSPECT 1-550G W.O.,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
"5668 N BROADWAY ",5668,5668,N,BROADWAY,,UNDERGROUND STORAGE TANK,2035609,See Environmental Permit Dataset,CITY AUTO REPAIR,0001,,,,1000,,,," ",DEPT. OF PUBLIC HEALTH,41.985474857359876,-87.66027302734253,POINT (-87.66027302734253 41.985474857359876),0.3931720652227233,"West Hollywood Avenue, Chicago, IL 60660, United States of America",41.985452,-87.6611361,West Hollywood Avenue,,West Hollywood Avenue,60660,,Edgewater,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7171 W 65TH ST,7171,7171,W,65TH,ST,UNDERGROUND STORAGE TANK,2012226,See Environmental Permit Dataset,WELD BEND,0001,,,GASOLINE,600,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
"4701 S DORCHESTER ",4701,,S,DORCHESTER,,UNDERGROUND STORAGE TANK,4701SDO,"See Environmental Permit Dataset ",CTA BUS STOP,0005,,,GASOLINE,4000,,,," ",DEPT. OF PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,
65 E SOUTH WATER ST,65,65,E,SOUTH WATER,ST,UNDERGROUND STORAGE TANK,65SOUTH1953-09-09,,ESQUIRE BUILDING,,,,,,09/09/1953,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 2-10K F.O.,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
7020 W FULLERTON AVE,7020,7028,W,FULLERTON,AVE,UNDERGROUND STORAGE TANK,702028F1953-07-01,,A G KEMELIN,,,,,,07/01/1953,,,"WORK BY: HOPE CONSTRCUTION; INSTALL 1-2K F.O.,   FINAL 12/30/53",HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
2000 N NATCHEZ AVE,2000,2000,N,NATCHEZ,AVE,UNDERGROUND STORAGE TANK,2000NAT1954-01-14,,ILLINOIS GEAR & MACHINE COMPANY,,,,,,01/14/1954,,,WORK BY: RAGNAR BENSON; REPLACE 1-10K F.O.,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
2541 S INDIANA AVE,2541,2541,S,INDIANA,AVE,UNDERGROUND STORAGE TANK,2541IND1958-02-21,,A & H TRANSPORT COMPANY,,,,,,02/21/1958,,,WORK BY: KEZ CONSTRUCTION; REPLACE & REMOVE 1-1K FINAL 1/19/59,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
11001 S COTTAGE GROVE AVE,11001,11001,S,COTTAGE GROVE,AVE,UNDERGROUND STORAGE TANK,11001CO1958-05-02,,KOSEL STEEL,,,,,,05/02/1958,,,WORK BY: GREAT ENGINEERING; INSTALL 1-20K GAL F. O. TANK           FINAL  N/G,HISTORIC DEPT. OF BUILDINGS,41.694302519578194,-87.60935357270519,POINT (-87.60935357270519 41.694302519578194),0,"Pullman State Historic Site, South Cottage Grove Avenue, Chicago, IL 60628, United States of America",41.694203849999994,-87.60834005794433,Pullman State Historic Site,,South Cottage Grove Avenue,60628,Arcade Row,Pullman,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1745 W FULTON ST,1745,1745,W,FULTON,ST,UNDERGROUND STORAGE TANK,1745WFU1986-11-07,,TRI-STATE METALS,,,,,,11/07/1986,,,"WORK BY: SHEFFIELD TANK; INSTALL 1-8K D.O. FIBERGLASS, FINAL 12/10/86",HISTORIC DEPT. OF BUILDINGS,41.88675170989606,-87.67124749119803,POINT (-87.67124749119803 41.88675170989606),0,"1733-1747 West Fulton Street, Chicago, IL 60612, United States of America",41.8866217,-87.67104742190489,,1733-1747,West Fulton Street,60612,,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10000 W OHARE ST,10000,10000,W,OHARE,ST,UNDERGROUND STORAGE TANK,RUNW14R,See Environmental Permit Dataset,CITY/ O'HARE AIRPORT(RADIO SHOP),0001,,,DIESEL,600,,,," ",DEPT. OF PUBLIC HEALTH,41.97620113902387,-87.90530912510346,POINT (-87.90530912510346 41.97620113902387),0,"O'Hare International Airport, 10000 Baggage Road, Chicago, IL 60666, United States of America",41.9782523,-87.90923552598412,O'Hare International Airport,10000,Baggage Road,60666,,O'Hare,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
101 W 84TH ST,101,101,W,84TH,ST,UNDERGROUND STORAGE TANK,101W84T1952-07-14,,LEBOVITZ HARDWARE COMPANY,,,,,,07/14/1952,,,"WORK BY: PEARSON & SON; INSTALL 1-1K FUEL OIL, FINAL 2/25/53",HISTORIC DEPT. OF BUILDINGS,41.74169192075343,-87.62684750615163,POINT (-87.62684750615163 41.74169192075343),8.338209428170611,"101 West 84th Street, Chicago, IL 60620, United States of America",41.7414144,-87.6271214807571,,101,West 84th Street,60620,,Chatham,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 S MENARD AVE,1,,S,MENARD,AVE,UNDERGROUND STORAGE TANK,1MENARD1972-05-03,,ARCO OIL,,,,,,05/03/1972,,,"WORK BY: H. M. BOLES & SONS; REMOVE 3-2K,1-1K,1-550G, INSTALL 2-8K,1-6K,1-550G",HISTORIC DEPT. OF BUILDINGS,41.88011299126083,-87.76961059572882,POINT (-87.76961059572882 41.88011299126083),32.7993422648719,"5801 West Madison Street, Chicago, IL 60644, United States of America",41.879956,-87.769946,,5801,West Madison Street,60644,Chicago,South Austin,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2023 S CLARK ST,2023,2023,S,CLARK,ST,UNDERGROUND STORAGE TANK,2023CLA1961-11-02,,ILLINOIS BRONZE,,,,,,11/02/1961,,,"WORK BY: LAKE SHORE OIL; REPLACE 1-3K GAS,REMOVE 1-1.5K GAS FINAL 11/28/61",HISTORIC DEPT. OF BUILDINGS,41.85465393765897,-87.62999931512533,POINT (-87.62999931512533 41.85465393765897),24.61358602444977,"2026 South Clark Street, Chicago, IL 60616, United States of America",41.8546118,-87.63043228221,,2026,South Clark Street,60616,,Armour Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1351 S RACINE AVE,1351,1351,S,RACINE,AVE,UNDERGROUND STORAGE TANK,2022934,See Environmental Permit Dataset,ABANDON GAS STATION,0002,,,GASOLINE,6000,,,," ",DEPT. OF PUBLIC HEALTH,41.863716986321464,-87.65644144316605,POINT (-87.65644144316605 41.863716986321464),1.6633106836182852,"Racine & 14th Street, South Racine Avenue, Chicago, IL 60607, United States of America",41.8637207,-87.6564609,Racine & 14th Street,,South Racine Avenue,60607,University Village,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1400 S MICHIGAN AVE,1400,1414,S,MICHIGAN,AVE,UNDERGROUND STORAGE TANK,1400MIC1955-08-19,,AMERICAN NATIONAL BANK TRUST #7922,,,,,,08/19/1955,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 1-3K F.O.,HISTORIC DEPT. OF BUILDINGS,41.864001543549804,-87.62422572913968,POINT (-87.62422572913968 41.864001543549804),1.5515568051943114,"Michigan Avenue Tower II, 1400 South Michigan Avenue, Chicago, IL 60605, United States of America",41.86377655,-87.62454866743403,Michigan Avenue Tower II,1400,South Michigan Avenue,60605,South Loop,Near South Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1601 W 71ST ST,1601,1611,W,71ST,ST,UNDERGROUND STORAGE TANK,1601W711994-11-22,,UNION OIL COMPANY,,,,,,11/22/1994,,,WORK BY: N/A; SEE 7100-12 SOUTH ASHLAND,HISTORIC DEPT. OF BUILDINGS,41.76479878031518,-87.66385615484663,POINT (-87.66385615484663 41.76479878031518),36.29980533190403,"7100 South Ashland Avenue, Chicago, IL 60636, United States of America",41.76473,-87.664284,,7100,South Ashland Avenue,60636,Chicago,West Englewood,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1400 E 87TH ST,1400,1400,E,87TH,ST,UNDERGROUND STORAGE TANK,1.4E+901988-03-24,,GERVAIS,,,,,,03/24/1988,,,"WORK BY: H & H TANK INSTALLERS; REMOVE 1-2K, 1-3K REPLACE W/2-6K       FINAL  6/29/88",HISTORIC DEPT. OF BUILDINGS,41.736962181879896,-87.59023178292782,POINT (-87.59023178292782 41.736962181879896),20.55562844900336,"1400 East 87th Street, Chicago, IL 60619, United States of America",41.737121,-87.590105,,1400,East 87th Street,60619,Chicago,Marynook,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1932 E 75TH ST,1932,1932,E,75TH,ST,UNDERGROUND STORAGE TANK,1.93E+781954-05-12,,GAS CITY,,,,,,05/12/1954,,,WORK BY: BULK PETROLEUM; INSTALL 2-2500 GAL GSLN TANK                FINAL  7/14/54,HISTORIC DEPT. OF BUILDINGS,41.758973539257624,-87.57729918921719,POINT (-87.57729918921719 41.758973539257624),18.19988853100549,"1932 East 75th Street, Chicago, IL 60649, United States of America",41.759068,-87.57712,,1932,East 75th Street,60649,Chicago,South Shore,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
22 S WINCHESTER AVE,22,22,S,WINCHESTER,AVE,UNDERGROUND STORAGE TANK,22WINCH1957-10-25,,AMCO MANUFACTURING,,,,,,10/25/1957,,,WORK BY: KENNEY TANK; INSPECT 1-2K FUEL OIL,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
231 S ASHLAND AVE,231,231,S,ASHLAND,AVE,UNDERGROUND STORAGE TANK,231ASHL1967-10-18,,DEPARTMENT OF URBAN RENEWAL,,,,,,10/18/1967,,,WORK BY: KEZ CONSTRUCTION; REMOVE 1-(8K) GASOLINE. COMPLETED 1/9/69,HISTORIC DEPT. OF BUILDINGS,41.877933061917716,-87.66655583184286,POINT (-87.66655583184286 41.877933061917716),16.055179637434343,"1556 West Jackson Boulevard, Chicago, IL 60607, United States of America",41.877857,-87.666391,,1556,West Jackson Boulevard,60607,Chicago,Near West Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1101 W BELMONT AVE,1101,1101,W,BELMONT,AVE,UNDERGROUND STORAGE TANK,1101BEL1993-09-23,,STANDARD OIL,,,,,,09/23/1993,,,WORK BY: NOT GIVEN; SEE:  3148/58 SEMINARY,HISTORIC DEPT. OF BUILDINGS,41.939762900820604,-87.65659453076121,POINT (-87.65659453076121 41.939762900820604),13.536431435087131,"3157-3159 North Seminary Avenue, Chicago, IL 60657, United States of America",41.93963305,-87.65624527363374,,3157-3159,North Seminary Avenue,60657,Wrigleyville,Lake View Township,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1700 S LYNN WHITE DRIVE ",1700,,S,LYNN WHITE DRIVE,,UNDERGROUND STORAGE TANK,2010254,"See Environmental Permit Dataset ",SIGNATURE FLIGHT SUPP. MEIGS FIELD,0007,,,GASOLINE,5000,,,," ",DEPT. OF PUBLIC HEALTH,41.858229414505374,-87.60962950038032,POINT (-87.60962950038032 41.858229414505374),2.5624007686021604,"Maintenance Building, 1700 South Lynn White Drive, Chicago, IL 60605, United States of America",41.85800115,-87.60970936975966,Maintenance Building,1700,South Lynn White Drive,60605,Chicago,Near South Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1146 W ROOSEVELT RD,1146,1158,W,ROOSEVELT,RD,UNDERGROUND STORAGE TANK,1146ROO1981-03-19,,CONSUMER TIRE & SUPPLY,,,,,,03/19/1981,,,WORK BY: H. M. BOLES & SONS; PEA GRAVEL FILL 1-1K REPLACE W/1-3K GAL GSLN  FINAL 3/31/81,HISTORIC DEPT. OF BUILDINGS,41.86711674277779,-87.65601999620691,POINT (-87.65601999620691 41.86711674277779),3.318042122668962,"Saint Ignatius College Preparatory School, 1076 West Roosevelt Road, Chicago, IL 60607, United States of America",41.867065,-87.65307378176723,Saint Ignatius College Preparatory School,1076,West Roosevelt Road,60607,University Village,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
